male,age,education,unemployed,ideology,left2012,left2016,eco_issue,imm_issue,iv_immigration,iv_economy,right2012,right2016
1,35,8,0,5,NA,NA,1,0,0.5,0.5,NA,NA
1,46,15,0,4,1,1,0,0,0.5,1,0,0
1,33,9,0,5,NA,NA,1,0,0.75,1,NA,NA
1,73,12,0,10,0,0,1,0,1,0.5,1,1
1,70,11,0,8,1,1,0,0,0.75,1,0,0
0,53,16,0,3,1,1,0,0,0.25,1,0,0
0,37,10,0,7,1,NA,1,0,0.5,1,0,NA
0,79,9,0,7,NA,0,0,1,0.5,1,NA,1
1,60,9,0,NA,NA,0,0,0,0.75,0.5,NA,1
1,76,10,0,5,1,1,0,0,0.5,1,0,0
1,70,9,0,5,1,1,0,0,0.5,1,0,0
0,72,13,0,7,1,0,0,0,0.5,1,0,1
0,50,12,0,5,NA,NA,0,0,0.5,0.5,NA,NA
0,34,10,0,5,1,NA,0,0,0.5,1,0,NA
0,46,6,1,NA,0,0,0,0,1,1,1,1
1,68,10,0,8,0,0,0,0,0.75,0.5,1,1
0,25,13,0,5,1,1,0,0,0.25,0.5,0,0
1,71,9,0,10,NA,0,0,0,1,1,NA,1
0,37,10,0,5,1,1,0,0,0.5,1,0,0
1,50,9,0,6,1,NA,1,0,0,1,0,NA
1,37,9,0,5,1,NA,1,0,1,1,0,NA
0,41,9,0,3,1,1,0,0,0.5,1,0,0
0,20,10,0,4,NA,NA,1,0,0.5,0,NA,NA
1,32,10,0,5,NA,NA,0,0,0.5,1,NA,NA
0,59,14,0,8,1,0,0,0,0.5,1,0,1
1,23,13,0,0,1,1,0,0,0,1,0,0
1,62,13,1,6,0,0,0,1,0.75,1,1,1
0,41,9,0,5,1,1,0,0,1,1,0,0
0,74,14,0,0,1,1,0,0,0,1,0,0
0,NA,10,0,5,NA,0,0,0,1,0,NA,1
1,40,14,0,9,0,0,0,0,0.75,0.5,1,1
0,NA,12,0,5,1,1,0,0,0.5,0,0,0
0,30,15,0,9,0,NA,0,1,0.75,1,1,NA
1,31,13,0,6,NA,NA,0,0,0.5,0,NA,NA
1,34,13,0,4,0,NA,1,0,0.5,0.5,1,NA
1,58,9,0,6,1,0,1,0,0.75,1,0,1
0,68,14,0,2,1,1,0,0,0.5,1,0,0
1,32,10,0,4,0,0,1,0,0.5,0.5,1,1
1,NA,8,0,7,NA,NA,1,0,0.5,1,NA,NA
0,78,3,0,9,1,1,0,0,0.5,1,0,0
1,45,13,0,5,1,1,0,0,0.5,0.5,0,0
0,46,14,0,4,1,1,0,0,0.75,1,0,0
0,44,11,0,8,1,1,0,0,0.25,1,0,0
1,25,13,0,4,NA,1,1,0,0.5,1,NA,0
0,34,12,0,5,0,1,0,0,1,1,1,0
1,67,NA,0,8,0,NA,0,0,0.5,1,1,NA
1,28,14,0,1,1,1,0,0,0.25,1,0,0
0,55,9,0,NA,NA,NA,0,0,0.5,1,NA,NA
1,33,13,0,5,0,NA,1,0,0.75,1,1,NA
1,44,9,1,8,NA,NA,0,0,1,1,NA,NA
0,NA,10,0,3,NA,1,0,0,0.5,0.5,NA,0
1,68,11,0,10,0,0,0,0,0.75,0.5,1,1
0,74,6,0,9,0,0,0,0,1,1,1,1
0,36,10,0,8,1,1,0,1,0.5,1,0,0
1,24,9,0,9,0,0,1,0,0.5,1,1,1
0,33,11,0,4,1,NA,0,0,1,1,0,NA
1,62,9,0,NA,1,1,1,0,0.5,0.5,0,0
1,73,13,0,6,1,1,0,0,0.5,0.5,0,0
0,18,10,0,NA,NA,1,0,0,0.25,NA,NA,0
0,53,15,0,2,NA,1,0,0,0.25,1,NA,0
1,33,11,1,10,0,0,1,0,1,0.5,1,1
1,79,6,0,2,NA,0,0,0,0.25,1,NA,1
0,68,13,0,4,1,1,0,0,0.5,0.5,0,0
0,29,10,0,9,NA,0,0,0,0.75,1,NA,1
0,40,9,0,5,1,1,0,0,0.5,0.5,0,0
0,46,8,0,10,NA,NA,0,0,0.75,1,NA,NA
0,49,13,0,9,0,0,0,0,0.75,1,1,1
0,33,13,0,5,0,1,0,0,0.5,1,1,0
0,38,10,0,5,NA,1,0,0,0.5,0.5,NA,0
0,69,10,0,4,1,1,0,0,0.5,0.5,0,0
1,52,13,0,9,0,0,0,0,0.5,1,1,1
1,45,13,0,6,0,0,0,0,0.5,1,1,1
1,44,13,0,6,0,NA,1,0,1,0.5,1,NA
1,80,13,0,10,0,NA,1,0,1,1,1,NA
0,56,6,0,5,NA,NA,0,0,1,1,NA,NA
0,36,14,0,2,1,1,0,0,0.25,0.5,0,0
1,18,12,0,3,NA,1,0,0,0.25,0.5,NA,0
0,71,12,0,8,0,NA,0,0,0.75,1,1,NA
0,35,10,0,NA,1,1,1,0,0.5,1,0,0
1,29,13,0,5,NA,NA,0,0,0.75,1,NA,NA
1,40,9,0,2,1,1,0,0,0.5,1,0,0
1,56,13,0,5,0,0,1,0,0.75,1,1,1
1,18,9,0,5,NA,NA,0,0,1,0.5,NA,NA
1,22,9,0,7,NA,0,0,0,1,1,NA,1
0,66,13,0,8,0,0,0,0,0.5,0.5,1,1
0,70,9,0,9,0,0,0,0,0.5,0.5,1,1
0,26,13,0,3,NA,NA,0,0,0.5,1,NA,NA
0,55,10,0,5,1,NA,0,0,0.75,1,0,NA
0,37,10,0,5,NA,NA,0,0,1,1,NA,NA
0,54,9,0,NA,0,0,0,0,1,1,1,1
0,64,9,0,8,0,0,0,0,1,NA,1,1
1,20,9,1,10,NA,NA,0,0,0.5,1,NA,NA
1,49,13,0,3,1,1,0,0,0.25,1,0,0
1,55,4,0,7,0,0,0,0,0.75,1,1,1
1,20,7,1,3,NA,NA,0,0,0.5,0.5,NA,NA
1,67,14,0,9,0,0,1,0,0.5,1,1,1
1,29,13,0,3,1,1,0,0,0.5,1,0,0
1,54,13,0,5,0,NA,0,0,0.5,0.5,1,NA
1,38,6,0,5,NA,NA,0,0,0.5,1,NA,NA
1,24,13,0,7,0,NA,1,0,0.5,1,1,NA
0,64,13,0,7,0,0,1,0,0.5,1,1,1
1,24,10,0,4,NA,NA,0,0,0.5,0.5,NA,NA
0,68,13,0,5,1,NA,0,0,0.5,1,0,NA
1,45,13,0,3,1,NA,0,0,0.5,0.5,0,NA
0,34,11,0,8,0,0,0,0,0.5,0.5,1,1
0,37,10,0,NA,NA,NA,0,0,0.5,0.5,NA,NA
0,72,9,0,10,1,1,0,0,0.75,1,0,0
0,71,12,0,3,1,1,1,0,0.25,1,0,0
1,75,10,0,10,0,0,1,0,1,0.5,1,1
1,23,13,0,6,1,NA,0,0,1,1,0,NA
1,53,13,0,5,0,0,0,0,1,0,1,1
0,56,15,0,5,NA,1,0,0,0,0.5,NA,0
0,21,11,0,0,NA,1,0,0,0,1,NA,0
0,53,9,0,6,1,0,0,0,0.75,1,0,1
0,57,9,0,5,1,1,0,0,0.5,1,0,0
0,24,12,0,9,0,0,1,0,0.5,0.5,1,1
1,85,9,0,NA,1,1,0,0,0.5,1,0,0
0,56,9,0,5,0,0,0,0,0.5,1,1,1
1,38,10,0,0,0,0,1,0,1,0.5,1,1
0,38,13,0,5,1,1,0,0,0.75,0.5,0,0
0,30,11,0,5,NA,NA,0,0,1,1,NA,NA
0,41,14,0,2,1,1,0,1,0.5,0.5,0,0
1,50,7,0,10,NA,1,0,0,0.25,1,NA,0
0,31,9,0,4,1,NA,0,0,0.5,0.5,0,NA
0,44,12,0,0,1,1,0,0,0.25,1,0,0
0,27,13,0,2,NA,1,0,0,0.25,1,NA,0
0,41,11,0,8,1,NA,0,0,0.75,0.5,0,NA
1,68,10,0,7,1,0,0,0,1,1,0,1
1,71,9,0,9,0,0,1,0,1,0.5,1,1
0,67,9,0,4,0,0,0,0,1,0.5,1,1
0,25,11,0,7,NA,NA,0,1,0.25,0,NA,NA
0,38,12,0,3,1,1,0,0,0.5,1,0,0
1,81,15,0,3,1,1,0,1,0.25,1,0,0
1,64,1,0,1,1,1,0,0,0.25,1,0,0
1,70,10,0,9,NA,1,0,0,0,1,NA,0
1,68,15,0,8,NA,0,1,0,1,0.5,NA,1
0,59,12,0,1,1,1,0,0,0.25,1,0,0
1,25,11,0,NA,0,0,0,0,1,1,1,1
1,48,9,0,6,0,NA,0,0,1,1,1,NA
1,28,14,0,6,0,NA,0,0,0.25,0,1,NA
1,37,14,0,1,1,1,1,0,0.25,1,0,0
0,50,10,0,4,NA,0,1,0,1,1,NA,1
0,90,9,0,5,0,0,0,0,0.75,1,1,1
0,76,10,0,NA,1,0,0,1,1,1,0,1
0,19,10,0,8,NA,0,0,0,0.5,0,NA,1
0,61,10,0,10,0,NA,1,0,1,1,1,NA
0,52,16,0,4,1,1,0,0,0.5,1,0,0
1,28,13,0,8,0,NA,1,0,0.25,1,1,NA
0,66,16,0,5,1,1,1,0,0.5,1,0,0
1,51,11,0,5,1,1,0,0,0.5,1,0,0
1,26,9,1,5,NA,NA,0,0,0.5,0.5,NA,NA
1,56,12,0,7,1,NA,0,0,1,1,0,NA
0,20,10,0,3,NA,1,1,0,0.5,0.5,NA,0
0,26,10,0,6,1,0,0,0,1,0.5,0,1
1,41,9,0,2,1,1,1,0,0.5,0.5,0,0
1,25,13,0,1,1,1,0,0,0.25,0.5,0,0
0,60,9,0,9,0,0,0,0,1,1,1,1
0,64,10,0,6,1,1,0,0,0.75,0.5,0,0
0,49,10,1,4,NA,NA,0,0,1,1,NA,NA
0,36,13,0,4,1,1,0,0,0.75,0.5,0,0
1,62,9,0,7,NA,0,1,0,0.75,1,NA,1
1,59,13,0,8,0,0,1,0,1,0.5,1,1
0,55,10,0,9,0,0,0,0,0.75,1,1,1
0,34,14,0,8,0,0,1,0,0.5,0,1,1
1,59,10,0,6,NA,0,1,0,0.75,1,NA,1
0,63,16,0,4,1,NA,1,0,0.75,1,0,NA
1,45,12,0,7,0,0,0,0,1,0.5,1,1
0,57,13,0,8,0,0,0,0,0.75,0.5,1,1
0,21,11,0,8,NA,1,0,0,0.5,1,NA,0
1,58,10,0,4,1,1,1,0,0,0.5,0,0
1,25,13,0,5,NA,1,0,0,1,1,NA,0
0,52,9,1,1,NA,NA,0,0,1,1,NA,NA
0,65,10,0,5,1,1,0,0,0.5,1,0,0
1,57,13,0,7,0,0,0,0,0.75,0.5,1,1
1,69,10,0,8,0,0,0,0,0.75,0.5,1,1
1,54,14,0,6,0,0,0,0,0.5,0.5,1,1
0,55,14,0,3,0,NA,0,0,0.5,0.5,1,NA
0,46,12,0,7,1,1,0,0,1,1,0,0
0,73,7,0,8,0,NA,0,1,0.5,1,1,NA
1,70,10,0,8,0,0,1,0,0.75,0.5,1,1
1,79,8,0,5,1,1,0,0,0.75,1,0,0
1,54,9,0,7,NA,0,0,0,0.75,1,NA,1
0,33,10,1,9,1,NA,1,0,0.75,1,0,NA
0,81,6,0,5,NA,NA,0,1,1,1,NA,NA
0,28,15,0,5,1,NA,0,0,0.5,0,0,NA
0,32,13,0,5,1,1,0,0,0.5,1,0,0
1,38,16,0,5,1,NA,0,0,0.5,0.5,0,NA
0,NA,13,0,6,NA,NA,0,0,0.75,1,NA,NA
1,61,11,0,6,1,NA,0,0,1,1,0,NA
0,36,10,1,5,1,NA,0,0,0.75,1,0,NA
0,44,13,0,0,1,1,0,1,1,1,0,0
1,46,12,0,7,NA,NA,1,0,0.5,1,NA,NA
0,55,10,0,6,1,1,0,0,0,1,0,0
0,30,9,1,3,1,1,0,0,0.25,0.5,0,0
1,73,16,0,7,NA,NA,0,0,0.25,1,NA,NA
1,NA,13,0,6,0,NA,0,0,0.5,1,1,NA
1,64,6,0,5,0,NA,0,0,1,1,1,NA
1,NA,13,0,5,NA,NA,0,0,1,1,NA,NA
0,33,10,0,5,1,NA,0,0,1,0.5,0,NA
0,46,9,0,0,1,1,0,0,0.25,1,0,0
0,53,13,1,4,1,1,0,0,0.5,0.5,0,0
0,90,13,0,3,1,1,0,0,0.25,1,0,0
1,23,12,0,0,1,1,0,0,0,1,0,0
0,74,10,0,8,1,1,0,0,0.5,1,0,0
0,77,10,0,5,1,0,0,0,0.75,1,0,1
0,22,15,0,3,NA,1,0,0,0.25,0,NA,0
0,20,10,0,8,NA,0,0,0,0.75,0.5,NA,1
0,34,14,0,6,0,NA,0,0,0.75,0,1,NA
1,69,11,0,5,1,NA,0,0,0.5,1,0,NA
0,37,10,0,3,1,1,1,0,0.25,1,0,0
1,46,14,0,4,0,0,0,0,1,0.5,1,1
1,33,13,0,7,0,NA,0,0,0.5,0.5,1,NA
1,21,9,0,4,NA,NA,0,0,0.5,1,NA,NA
1,40,13,0,4,0,NA,1,0,0.5,0.5,1,NA
0,60,11,0,4,1,NA,0,0,0.5,1,0,NA
0,40,14,0,0,0,0,0,0,0.75,1,1,1
1,44,10,0,7,NA,0,0,0,1,1,NA,1
0,19,10,0,5,NA,1,0,0,0.75,0.5,NA,0
1,79,13,0,7,0,0,1,0,0.5,0.5,1,1
1,46,12,0,7,NA,0,0,0,1,0.5,NA,1
1,63,9,0,8,NA,0,1,0,1,1,NA,1
1,30,13,0,7,0,0,0,0,0.5,0.5,1,1
1,38,8,1,5,1,NA,0,0,0,1,0,NA
0,65,9,0,5,1,1,1,0,0.5,1,0,0
1,39,10,0,6,0,NA,0,0,0,1,1,NA
1,44,12,0,7,0,0,0,0,1,0.5,1,1
0,82,9,0,7,NA,NA,0,1,1,1,NA,NA
0,76,NA,0,10,NA,NA,0,0,0.75,1,NA,NA
0,54,10,0,5,0,0,0,1,0.75,1,1,1
0,70,12,0,5,1,1,0,0,0.5,1,0,0
1,66,14,0,9,0,0,0,0,1,0.5,1,1
1,68,13,0,10,NA,NA,0,0,1,0.5,NA,NA
0,18,9,0,8,NA,NA,0,0,0.75,0.5,NA,NA
0,38,10,0,8,0,0,1,0,1,0.5,1,1
0,38,13,0,8,0,NA,0,0,0.75,0.5,1,NA
1,19,10,0,5,NA,0,0,0,1,0.5,NA,1
0,69,14,0,2,1,1,0,0,0.25,1,0,0
0,NA,13,0,5,NA,NA,0,0,0.75,0.5,NA,NA
1,55,16,0,6,1,1,0,0,0.5,0,0,0
0,NA,13,0,NA,1,NA,0,0,1,1,0,NA
0,73,14,0,5,0,1,0,0,0.5,0.5,1,0
0,62,9,0,NA,NA,0,0,0,1,0.5,NA,1
0,39,13,0,4,0,1,0,0,0.5,1,1,0
0,59,10,0,5,0,0,0,0,0.75,0.5,1,1
0,37,13,0,6,NA,NA,0,0,0.5,1,NA,NA
1,73,10,0,7,1,NA,0,0,0.5,0.5,0,NA
1,53,9,0,6,0,NA,0,0,1,0.5,1,NA
0,NA,13,0,5,NA,NA,0,0,0.25,0.5,NA,NA
1,56,10,0,5,1,NA,0,0,0.75,1,0,NA
0,65,16,0,4,1,1,0,0,0.5,0.5,0,0
1,26,12,0,3,1,NA,0,0,0.5,0.5,0,NA
1,66,10,0,10,1,1,0,0,0.75,1,0,0
0,28,10,0,10,0,0,0,0,0.5,0.5,1,1
0,55,9,0,9,0,NA,1,0,0.5,1,1,NA
0,34,11,0,2,NA,1,0,0,0.25,1,NA,0
1,49,13,0,8,0,0,0,0,1,0.5,1,1
1,77,14,0,1,1,1,0,0,0.75,1,0,0
0,39,10,0,5,NA,NA,0,0,1,0,NA,NA
0,25,10,0,5,NA,NA,0,1,0.5,1,NA,NA
0,58,13,0,10,0,0,0,0,1,0.5,1,1
1,50,14,0,3,1,1,0,0,0.5,1,0,0
0,50,12,0,5,1,1,0,0,0.5,1,0,0
1,54,16,0,5,NA,NA,0,0,0.25,0.5,NA,NA
1,69,11,0,6,1,1,1,0,0.5,1,0,0
1,50,14,0,8,1,NA,1,0,0.5,1,0,NA
0,41,13,0,7,0,0,0,0,0.5,0.5,1,1
1,61,13,0,9,NA,0,1,0,0.5,1,NA,1
1,34,9,0,6,0,0,0,0,0.75,1,1,1
0,73,8,0,4,1,NA,0,0,0.5,1,0,NA
0,24,12,0,2,1,NA,0,0,0.5,1,0,NA
1,52,9,1,7,NA,NA,0,0,0.5,0.5,NA,NA
1,42,14,0,1,1,1,1,0,0.25,1,0,0
0,37,13,0,3,NA,NA,1,0,0.5,0.5,NA,NA
0,NA,14,0,5,NA,NA,0,0,0.75,1,NA,NA
1,27,14,0,1,1,1,1,0,0,1,0,0
1,75,13,0,5,1,NA,0,0,0.5,0.5,0,NA
1,38,13,0,3,NA,NA,0,0,0,1,NA,NA
0,67,10,0,NA,NA,NA,0,0,1,1,NA,NA
0,34,9,1,NA,NA,1,0,0,0,1,NA,0
0,34,14,0,8,0,0,0,0,1,1,1,1
1,NA,14,0,9,0,0,0,0,0.75,0.5,1,1
0,28,10,0,10,1,NA,0,0,1,1,0,NA
0,54,14,0,1,1,1,0,0,0,1,0,0
0,33,9,0,NA,1,1,1,0,0.75,1,0,0
0,32,5,0,10,NA,NA,0,0,1,1,NA,NA
0,78,13,0,8,0,0,0,0,1,1,1,1
1,NA,10,0,10,0,0,0,0,1,0.5,1,1
0,67,14,0,5,0,1,0,0,0.5,1,1,0
1,28,13,0,9,0,0,0,0,1,0.5,1,1
1,32,13,0,10,0,0,1,0,0.5,0,1,1
0,26,10,0,NA,NA,1,0,0,0.75,0,NA,0
1,32,13,0,7,0,NA,0,0,0.5,0,1,NA
0,38,10,0,5,NA,NA,0,0,0.25,0.5,NA,NA
0,NA,14,0,7,NA,1,0,0,1,0.5,NA,0
0,47,13,0,5,1,1,0,0,0.5,0.5,0,0
1,35,10,0,NA,1,NA,0,0,0.5,0.5,0,NA
1,64,10,0,9,0,0,0,0,0.5,1,1,1
0,56,9,1,5,1,NA,0,0,0.75,1,0,NA
0,33,10,0,5,NA,NA,0,0,1,0.5,NA,NA
1,46,9,0,5,1,1,0,0,0.75,0,0,0
0,68,10,0,3,1,1,0,0,0,1,0,0
0,66,14,0,8,0,0,1,0,1,0.5,1,1
0,86,13,0,0,1,1,0,0,0,0.5,0,0
0,27,10,0,5,1,NA,0,0,0.25,0.5,0,NA
1,44,13,0,4,1,1,1,0,0.5,1,0,0
1,25,10,0,5,1,NA,0,0,0.5,0.5,0,NA
0,75,14,0,4,1,1,0,0,0.75,1,0,0
1,47,11,0,10,0,0,0,1,1,1,1,1
0,37,13,0,6,1,0,0,0,0.5,0.5,0,1
1,31,14,0,5,0,0,1,0,1,0,1,1
0,76,NA,0,8,0,0,0,0,1,0.5,1,1
0,NA,13,0,6,1,NA,0,0,0.5,1,0,NA
1,60,14,0,5,0,NA,1,0,0.5,0.5,1,NA
0,74,10,0,6,0,0,1,0,1,0.5,1,1
0,39,13,0,2,NA,1,0,0,0.5,1,NA,0
1,34,9,0,0,1,1,0,0,0,1,0,0
1,63,13,0,4,1,1,0,0,0.75,1,0,0
1,61,9,0,2,1,1,0,0,0.75,1,0,0
1,77,15,0,10,0,NA,1,0,0.25,1,1,NA
0,39,14,0,5,NA,NA,0,0,0.5,1,NA,NA
0,48,13,1,5,1,NA,0,0,1,1,0,NA
1,35,13,0,3,1,1,0,0,0.5,0.5,0,0
1,59,15,0,6,0,0,1,0,0.75,1,1,1
1,56,13,0,8,NA,0,1,0,0.75,0,NA,1
1,64,9,0,5,NA,NA,0,0,0.5,1,NA,NA
0,37,9,0,8,NA,0,1,0,0.75,1,NA,1
1,64,15,0,1,1,1,0,0,0.25,1,0,0
1,46,9,0,5,NA,NA,0,0,1,1,NA,NA
1,36,14,0,8,1,1,1,0,0.5,1,0,0
0,56,10,0,6,0,NA,0,0,1,1,1,NA
1,67,13,0,8,0,NA,0,0,0.5,0.5,1,NA
0,82,10,0,8,0,0,0,0,1,1,1,1
1,23,9,0,5,NA,NA,0,0,0.75,0.5,NA,NA
0,45,9,0,7,NA,0,1,0,1,1,NA,1
0,64,13,0,5,1,1,0,0,1,1,0,0
1,33,10,0,7,NA,0,0,0,1,1,NA,1
1,59,14,0,4,1,1,1,0,0.5,1,0,0
0,53,9,0,5,0,0,0,0,0.75,1,1,1
0,57,9,1,10,1,1,0,0,0.5,1,0,0
0,84,10,0,3,1,1,0,0,0.5,0.5,0,0
1,66,13,0,8,0,0,1,0,1,1,1,1
0,NA,10,0,4,NA,NA,0,0,0.5,1,NA,NA
1,49,14,0,10,0,NA,0,0,0.75,1,1,NA
1,60,13,0,5,NA,0,0,0,1,1,NA,1
1,44,9,0,10,1,1,0,0,1,0.5,0,0
1,24,13,0,4,1,NA,0,0,0,1,0,NA
0,29,13,0,6,0,0,0,0,1,1,1,1
0,65,13,0,8,0,0,0,0,0.75,1,1,1
1,45,15,0,8,1,0,0,0,0,0,0,1
1,39,14,0,6,1,0,1,0,0.75,0,0,1
1,35,12,0,5,1,NA,0,0,1,1,0,NA
0,48,13,1,4,NA,NA,0,0,0.25,1,NA,NA
0,62,8,0,6,NA,1,0,0,0.75,1,NA,0
0,66,13,0,7,NA,0,1,0,0.75,1,NA,1
0,69,13,0,5,1,1,0,0,0.5,0.5,0,0
0,73,6,0,6,0,0,0,0,1,1,1,1
1,58,10,0,9,0,0,0,0,0.75,1,1,1
0,54,11,0,5,1,NA,0,0,1,0,0,NA
0,70,9,0,5,1,NA,1,0,0.75,1,0,NA
0,50,9,0,9,NA,0,0,0,0.75,1,NA,1
1,69,12,0,8,0,0,1,0,1,1,1,1
0,44,15,0,5,1,1,0,0,0.5,0.5,0,0
0,56,12,0,8,1,NA,0,0,0.5,1,0,NA
0,59,10,0,4,1,NA,0,0,0.5,0.5,0,NA
1,53,16,0,3,1,1,0,0,0,0.5,0,0
0,60,13,0,2,1,1,0,0,0.5,1,0,0
0,58,11,0,NA,1,NA,0,0,0.5,1,0,NA
1,31,13,0,5,1,1,0,0,0.5,0.5,0,0
1,33,11,0,5,NA,NA,0,0,0.5,1,NA,NA
1,48,14,0,6,0,0,0,0,0.5,0.5,1,1
0,46,13,0,9,0,0,0,0,0.75,0.5,1,1
1,34,9,0,4,1,NA,0,0,0.5,0.5,0,NA
1,35,13,1,5,1,1,0,0,0,1,0,0
1,36,11,1,5,NA,NA,0,0,0.75,1,NA,NA
0,80,10,0,5,1,1,1,0,0.5,1,0,0
1,68,16,0,NA,NA,NA,0,0,0.25,0.5,NA,NA
1,40,13,0,5,NA,1,0,0,0.5,0.5,NA,0
1,20,12,0,6,NA,NA,0,0,0.5,0,NA,NA
1,58,6,0,6,NA,NA,1,0,1,1,NA,NA
1,43,14,0,6,0,0,0,0,1,0.5,1,1
1,36,9,0,10,NA,1,0,0,0.5,1,NA,0
1,49,16,0,9,0,0,0,0,0.75,0.5,1,1
1,56,10,0,8,0,0,0,0,0.75,1,1,1
0,46,10,0,NA,NA,NA,0,0,0.75,1,NA,NA
0,76,10,0,9,0,0,0,0,1,0.5,1,1
1,19,10,0,5,NA,1,0,0,0.5,0.5,NA,0
0,32,12,0,7,NA,0,0,0,1,0.5,NA,1
0,39,14,0,1,1,1,0,0,0.25,0.5,0,0
1,59,14,0,7,0,0,0,0,0.25,0.5,1,1
0,41,16,0,2,1,1,0,0,0.25,0.5,0,0
1,34,9,0,6,NA,NA,1,0,0.75,0.5,NA,NA
0,30,12,0,5,0,0,0,0,0.5,1,1,1
0,39,14,0,10,0,0,0,0,1,0.5,1,1
1,NA,14,0,7,0,NA,1,0,1,0.5,1,NA
0,57,10,0,8,0,0,0,0,0.5,1,1,1
1,33,10,0,7,NA,NA,0,1,0.5,1,NA,NA
0,35,13,0,2,1,NA,1,0,0.25,1,0,NA
0,57,13,0,4,1,1,0,0,0.5,1,0,0
1,59,9,0,5,1,0,0,0,1,1,0,1
1,85,10,0,10,0,0,0,0,1,1,1,1
1,74,9,0,9,0,0,1,0,1,1,1,1
0,31,10,0,2,1,1,0,0,0.5,0,0,0
1,21,12,0,5,NA,1,0,0,0.75,0,NA,0
1,26,9,0,10,1,NA,0,0,1,0.5,0,NA
1,68,13,0,7,0,0,0,0,1,0.5,1,1
1,31,10,0,6,NA,NA,1,0,0.75,1,NA,NA
0,87,10,0,8,0,NA,0,1,0.5,0.5,1,NA
1,22,9,1,5,NA,NA,0,0,1,0,NA,NA
0,32,13,0,2,1,1,1,0,0,1,0,0
1,63,15,0,5,1,1,0,0,0.25,1,0,0
0,33,14,0,0,1,1,0,0,0.25,0.5,0,0
0,55,9,0,7,0,0,0,0,1,1,1,1
1,55,14,0,6,0,NA,1,0,0.25,0.5,1,NA
1,69,8,0,8,0,0,0,0,1,1,1,1
0,80,9,0,8,0,0,0,0,1,1,1,1
0,51,14,0,4,1,NA,0,0,0,1,0,NA
0,61,12,1,9,1,1,0,0,0.5,0.5,0,0
1,63,9,0,9,1,1,0,0,0.5,1,0,0
1,71,10,0,3,1,1,0,0,0.75,1,0,0
1,46,13,0,5,NA,1,0,0,0.5,1,NA,0
0,34,14,0,7,1,1,0,0,0.5,0.5,0,0
1,25,10,0,5,NA,NA,0,0,0.5,1,NA,NA
0,49,13,0,6,0,0,0,0,0.5,1,1,1
0,61,9,0,10,0,0,0,1,0.75,1,1,1
1,39,13,0,9,0,0,0,1,0.75,0,1,1
0,20,12,0,0,NA,1,0,0,0,1,NA,0
1,72,13,0,8,0,0,0,0,0.5,1,1,1
1,76,13,0,4,1,1,1,0,0.5,0.5,0,0
1,NA,11,0,5,0,0,0,0,0.75,1,1,1
0,NA,10,0,8,0,0,0,0,0.5,1,1,1
1,41,12,0,0,1,1,0,0,0.5,0.5,0,0
0,50,14,0,9,1,1,0,0,0.75,1,0,0
0,73,12,0,9,1,1,0,0,0.25,1,0,0
1,32,5,0,5,NA,NA,0,0,1,0.5,NA,NA
1,67,13,0,8,0,0,0,0,1,1,1,1
0,56,12,0,5,NA,NA,0,0,0.75,1,NA,NA
0,59,10,0,7,0,0,0,0,0.75,0.5,1,1
0,34,9,0,5,1,0,1,0,0.75,1,0,1
0,20,9,1,5,1,NA,0,0,0.25,1,0,NA
0,70,11,0,5,1,1,0,0,1,0.5,0,0
1,57,10,0,6,1,1,0,0,0.75,1,0,0
0,54,14,0,4,NA,NA,0,0,0.75,1,NA,NA
0,35,13,0,3,1,1,1,0,0.5,0.5,0,0
1,53,8,1,8,NA,NA,0,0,0.5,0.5,NA,NA
0,67,13,0,5,1,1,1,0,0.5,1,0,0
0,21,9,0,10,NA,NA,0,0,0.75,1,NA,NA
0,20,10,0,10,NA,NA,0,0,0.5,0.5,NA,NA
1,23,9,0,5,NA,NA,0,0,0.5,1,NA,NA
0,58,10,0,10,0,0,0,0,0.75,0,1,1
0,81,9,0,8,0,0,0,0,0.5,1,1,1
0,61,10,0,10,1,1,0,0,0.5,0.5,0,0
0,55,9,0,8,0,0,0,0,0.25,1,1,1
0,58,13,0,1,1,NA,0,0,1,1,0,NA
0,40,10,0,8,0,0,0,0,1,0.5,1,1
0,62,10,0,10,NA,0,0,0,0.5,1,NA,1
0,36,13,0,5,1,1,0,0,0.75,0.5,0,0
0,62,15,0,6,0,0,0,0,0.5,0.5,1,1
0,57,11,0,5,NA,NA,0,0,1,1,NA,NA
1,63,12,1,7,0,0,0,0,0.5,1,1,1
1,34,5,0,5,NA,NA,0,0,1,0,NA,NA
0,20,9,0,10,NA,0,0,0,1,1,NA,1
1,32,11,0,6,NA,0,0,0,0.75,0,NA,1
1,59,13,0,NA,0,0,1,0,1,1,1,1
0,52,10,0,10,0,0,1,0,0.75,1,1,1
0,65,14,0,9,1,1,1,0,0.5,1,0,0
0,21,12,0,8,NA,NA,1,0,0.5,1,NA,NA
0,60,10,0,7,NA,NA,1,0,1,0.5,NA,NA
0,63,9,0,7,0,0,0,1,1,1,1,1
1,41,4,0,6,NA,NA,1,0,1,1,NA,NA
0,57,10,0,5,0,0,0,0,1,1,1,1
0,51,9,0,8,1,1,0,0,0.5,1,0,0
1,67,13,0,5,1,1,0,0,0.5,1,0,0
0,29,13,0,7,1,1,0,0,0.5,0,0,0
1,66,NA,0,5,1,0,0,0,0,0.5,0,1
