male,age,education,unemployed,ideology,left2012,left2016,eco_issue,imm_issue,iv_immigration,iv_economy,right2012,right2016
0,49,13,1,8,0,0,0,0,0.75,0.5,1,1
0,29,14,0,3,1,1,0,0,0.5,0.5,0,0
1,49,10,0,5,0,0,0,0,0.5,1,1,1
1,39,9,0,6,NA,NA,1,0,0.5,0.5,NA,NA
1,62,12,0,7,0,0,0,0,0.5,1,1,1
0,57,10,0,4,1,1,0,0,0,1,0,0
1,77,14,0,5,0,NA,0,0,0.25,0.5,1,NA
0,58,11,0,5,1,0,0,0,0.25,1,0,1
1,31,9,0,NA,NA,NA,1,0,0.75,1,NA,NA
1,59,13,0,6,NA,NA,0,0,0.25,1,NA,NA
0,59,11,0,8,0,0,0,0,1,1,1,1
0,23,8,0,NA,NA,NA,0,0,0.25,0.5,NA,NA
1,56,10,1,5,NA,1,0,0,1,1,NA,0
1,44,13,0,10,0,0,1,0,0.5,1,1,1
0,24,13,0,6,NA,0,0,0,0.75,0.5,NA,1
1,24,9,1,3,NA,NA,0,0,0.5,0,NA,NA
0,51,14,0,9,1,1,0,0,1,1,0,0
1,62,10,0,6,0,0,1,0,0.75,1,1,1
0,36,14,0,4,1,1,0,0,0.25,1,0,0
0,34,9,0,NA,1,1,1,0,0.5,1,0,0
1,51,14,0,5,1,1,0,0,0.5,1,0,0
0,53,10,0,8,0,0,0,0,0.75,1,1,1
0,58,13,0,5,0,NA,0,0,0.5,1,1,NA
0,63,13,0,5,1,1,0,0,0.5,1,0,0
1,42,10,0,5,NA,NA,0,0,0.5,1,NA,NA
1,21,12,0,5,NA,NA,0,0,1,0.5,NA,NA
0,76,13,0,6,1,NA,0,0,0.75,0.5,0,NA
0,38,10,0,5,NA,NA,0,0,1,0,NA,NA
1,63,12,0,8,0,0,0,0,0.5,0.5,1,1
0,67,8,0,NA,NA,NA,0,0,1,1,NA,NA
0,51,13,0,5,NA,NA,0,0,0.5,1,NA,NA
1,53,8,0,7,1,1,0,0,0.5,1,0,0
1,38,14,0,9,NA,1,1,0,0.5,1,NA,0
0,42,10,0,2,1,1,0,0,0.5,1,0,0
0,35,9,0,5,NA,NA,1,0,0.5,0.5,NA,NA
0,41,7,0,4,1,1,0,0,0.75,0.5,0,0
0,51,13,0,4,1,1,0,0,0.75,1,0,0
0,60,13,0,5,0,0,1,0,0.5,0.5,1,1
1,85,9,0,5,1,1,0,0,0.5,0.5,0,0
1,56,6,0,5,1,0,0,0,1,1,0,1
1,28,14,0,2,NA,1,0,0,0.25,1,NA,0
1,56,NA,1,5,NA,NA,0,0,1,1,NA,NA
0,52,10,0,4,NA,0,0,0,1,1,NA,1
1,79,16,0,8,0,0,0,0,0.5,0.5,1,1
1,48,13,0,3,1,1,0,0,0.5,1,0,0
1,62,11,0,4,1,1,1,0,0.25,1,0,0
0,65,10,0,10,0,0,0,0,1,1,1,1
0,52,13,0,5,0,1,1,0,0.5,1,1,0
1,48,10,0,7,0,0,0,0,1,0.5,1,1
0,87,9,0,NA,1,0,0,0,0.75,1,0,1
1,75,16,0,5,0,NA,1,0,0.5,1,1,NA
0,39,11,0,5,0,NA,1,0,0.75,0,1,NA
1,22,9,0,10,1,0,0,0,0.5,0.5,0,1
0,29,12,0,NA,NA,NA,0,0,0.5,1,NA,NA
1,81,16,0,2,1,1,0,0,0.5,1,0,0
0,26,9,0,7,NA,NA,0,1,0.5,0.5,NA,NA
1,34,16,0,5,1,1,0,0,0.25,1,0,0
0,54,14,0,7,0,NA,0,0,0.5,0.5,1,NA
0,72,3,0,5,1,1,0,0,0.5,1,0,0
0,68,14,0,3,1,1,0,0,0.25,1,0,0
1,53,11,0,3,1,1,1,0,0.25,1,0,0
0,35,9,0,5,1,1,0,0,0.5,1,0,0
1,57,9,0,8,1,1,1,0,0.25,1,0,0
1,75,9,0,8,0,0,0,0,1,1,1,1
1,60,14,1,6,NA,0,0,0,0.75,0.5,NA,1
0,57,13,0,9,0,0,1,0,0.5,1,1,1
0,48,10,0,9,NA,NA,0,0,0.5,0.5,NA,NA
0,34,13,0,5,NA,0,0,0,0.75,1,NA,1
1,87,14,0,9,0,0,0,0,0.75,0,1,1
0,66,9,0,5,NA,0,1,0,1,1,NA,1
0,36,13,0,5,1,1,0,1,0.5,1,0,0
1,37,16,0,1,1,1,1,0,0,1,0,0
1,49,12,0,5,NA,1,1,0,0.25,1,NA,0
0,31,9,0,8,NA,1,0,0,0.5,1,NA,0
1,34,13,0,6,NA,NA,0,0,0.75,1,NA,NA
0,34,12,0,3,1,1,0,0,0.5,0.5,0,0
1,54,14,0,5,0,0,1,0,0.5,1,1,1
1,35,9,0,5,0,0,0,0,0.5,0.5,1,1
0,74,10,0,6,NA,NA,1,0,0.5,1,NA,NA
1,33,13,0,2,NA,NA,0,0,0.5,1,NA,NA
0,60,12,0,5,NA,NA,1,0,0.5,1,NA,NA
0,71,11,0,5,0,0,1,0,0.5,1,1,1
0,82,14,0,6,0,0,0,0,0.5,1,1,1
0,35,10,0,7,NA,0,0,0,0.75,1,NA,1
0,59,13,0,1,NA,1,0,0,0.25,1,NA,0
0,80,9,0,5,1,NA,0,0,0.5,1,0,NA
0,52,14,0,5,1,1,0,0,0.5,0.5,0,0
1,43,11,0,8,0,0,0,0,0.75,0,1,1
1,51,13,0,3,1,1,1,0,0.5,0.5,0,0
