male,age,education,unemployed,ideology,left2012,left2016,eco_issue,imm_issue,iv_immigration,iv_economy,CC16_301d,CC16_301i,CC16_331_1,CC16_331_2,CC16_331_3,CC16_331_4,CC16_331_5,CC16_331_6,CC16_331_7,CC16_331_8,right2012,right2016
1,44,5,0,5,0,NA,1,1,0,0.25,1,1,1,2,1,2,2,1,2,2,1,NA
1,36,5,0,3,1,1,1,0,0.25,0.5,3,2,2,2,1,2,2,2,2,2,0,0
1,46,3,0,4,0,0,1,1,0.875,0,1,1,2,2,2,1,1,2,1,1,1,1
0,53,3,0,2,1,0,1,1,0.75,0,1,2,2,1,2,1,1,1,1,2,0,1
1,64,3,0,6,0,0,1,1,1,0.25,1,2,2,1,2,1,1,2,1,1,1,1
0,60,4,0,4,1,1,1,1,0.25,1,1,1,1,2,2,2,2,2,2,2,0,0
0,56,6,0,1,1,NA,1,0,0.375,1,3,2,1,2,2,1,2,2,2,2,0,NA
0,32,6,0,2,1,1,0,0,0.375,0,3,3,1,1,1,1,2,2,2,2,0,0
0,58,6,0,2,1,1,1,1,0.125,1,2,1,1,2,1,1,2,1,2,2,0,0
0,52,6,1,2,1,1,1,1,0.125,0.75,2,1,1,2,1,2,2,2,2,2,0,0
1,31,5,0,1,1,1,1,1,0,0.5,1,1,1,2,1,2,2,1,2,2,0,0
0,67,3,0,2,1,NA,1,1,0.375,NA,2,1,1,1,2,2,2,2,2,2,0,NA
1,60,4,0,6,0,0,1,1,0.875,0,1,1,2,1,2,1,1,2,1,2,1,1
0,63,4,0,2,1,1,1,1,0.125,0.25,2,1,1,2,1,2,2,2,2,2,0,0
0,72,3,0,6,0,0,1,1,1,0,1,2,2,1,2,1,1,2,1,1,1,1
1,61,5,0,6,1,NA,1,1,0.125,NA,2,1,1,2,1,2,2,2,2,2,0,NA
1,62,3,0,4,1,1,1,0,0.375,0.5,4,2,2,2,2,2,2,2,2,2,0,0
0,38,6,0,4,1,1,1,0,0.375,0.25,3,1,1,2,2,1,2,2,2,2,0,0
1,37,6,0,1,NA,NA,1,1,0.625,1,2,2,2,1,2,2,2,2,2,1,NA,NA
1,61,3,0,6,0,0,1,1,1,0.25,1,1,2,1,2,1,1,2,1,1,1,1
0,39,4,0,4,NA,NA,1,1,0.5,0.75,2,1,1,1,2,2,2,2,1,2,NA,NA
1,40,5,0,6,0,NA,1,1,0.375,0.25,2,2,1,2,2,1,2,2,2,2,1,NA
1,78,3,0,6,1,1,1,1,0.125,0.5,2,1,1,2,1,2,2,2,2,2,0,0
1,65,3,0,6,0,0,0,1,0.625,0.5,1,3,2,1,2,1,2,2,2,2,1,1
0,54,3,0,6,0,0,1,1,1,0,1,1,2,1,2,1,1,2,1,1,1,1
0,70,6,0,4,1,NA,1,0,0.5,NA,3,1,2,2,2,1,2,2,2,2,0,NA
1,68,2,0,2,1,1,1,0,0.25,0.5,3,1,1,2,1,1,2,2,2,2,0,0
0,63,2,0,2,0,NA,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,NA
0,66,5,0,3,1,1,1,0,0.125,0.75,3,1,1,2,1,2,2,2,2,2,0,0
1,69,6,0,2,1,NA,1,1,0.75,0.25,2,2,2,1,2,1,2,2,1,2,0,NA
0,32,4,0,6,0,0,1,1,0.875,0,2,2,2,1,2,2,1,2,1,1,1,1
0,58,3,0,2,1,1,1,0,0.125,0.75,3,1,1,2,1,2,2,2,2,2,0,0
1,57,5,0,5,0,0,1,1,0.625,0.5,2,1,1,1,2,1,1,2,2,2,1,1
0,46,4,0,1,1,1,1,1,0.375,0.5,1,1,1,1,1,1,2,2,2,2,0,0
0,47,6,0,3,1,1,1,0,0.125,0.5,4,2,1,2,1,2,2,2,2,2,0,0
0,32,5,0,6,0,NA,1,1,0.25,NA,2,2,2,2,1,1,2,1,2,2,1,NA
0,60,4,0,1,NA,1,0,0,0.125,0.5,3,3,1,2,1,2,2,2,2,2,NA,0
0,53,6,0,4,1,0,1,1,0.375,0.5,1,1,1,2,2,1,2,2,2,2,0,1
0,35,6,0,6,1,0,1,0,0.375,0,3,1,2,2,2,2,2,2,2,2,0,1
0,42,6,0,2,1,1,1,1,0.125,0.5,2,2,1,2,1,2,2,2,2,2,0,0
0,41,2,0,NA,0,0,1,1,1,0.5,1,1,2,1,2,1,1,2,1,1,1,1
0,47,5,0,5,0,0,1,1,0.625,0.25,1,1,2,2,2,1,1,2,2,2,1,1
0,35,6,0,1,1,1,1,1,0,1,1,1,1,2,1,2,2,1,2,2,0,0
0,58,5,0,6,0,0,1,1,0.625,0.25,2,2,2,1,1,1,2,2,1,2,1,1
1,61,3,0,5,0,1,1,1,0.625,0.5,2,1,1,1,1,1,1,2,1,2,1,0
0,36,4,1,2,1,NA,1,0,0.375,NA,4,1,1,2,1,1,2,2,1,2,0,NA
0,40,2,0,5,NA,NA,1,1,0.875,NA,2,2,2,1,2,1,1,2,1,2,NA,NA
0,63,2,1,4,1,1,1,1,0.625,0.5,2,1,2,1,2,2,2,2,1,2,0,0
1,25,5,0,4,0,NA,1,1,0.5,0.5,2,2,2,2,2,1,2,2,2,2,1,NA
0,46,5,0,1,1,NA,1,1,0.375,1,1,1,1,2,1,1,1,2,2,2,0,NA
0,41,3,0,3,NA,0,1,1,0.75,0,1,2,1,1,2,1,1,2,2,1,NA,1
0,38,4,0,4,1,1,1,0,0.25,0.5,3,1,1,1,1,1,2,1,2,2,0,0
1,51,2,0,6,NA,NA,1,1,0.875,NA,1,1,1,1,2,1,1,2,1,1,NA,NA
0,49,4,0,4,1,0,1,1,0.75,0.25,1,2,2,1,2,1,1,1,1,2,0,1
0,56,5,0,6,0,0,0,1,0.375,0,2,3,1,2,1,1,2,2,2,1,1,1
0,59,3,0,2,1,1,1,1,0.25,0.5,1,1,1,1,1,2,2,2,2,2,0,0
1,44,5,0,1,1,1,1,1,0,0.75,2,1,1,2,1,2,2,1,2,2,0,0
0,37,6,0,1,1,1,1,1,0.125,1,1,1,1,2,1,2,2,2,2,2,0,0
1,72,2,0,6,0,0,1,1,0.875,0.5,1,1,2,1,2,2,1,2,1,1,1,1
1,59,1,1,4,NA,NA,1,1,0.25,0.5,1,1,1,1,1,2,2,2,2,2,NA,NA
1,30,3,0,4,0,NA,1,0,0.25,NA,4,2,1,2,2,2,2,2,2,2,1,NA
0,68,3,0,2,1,1,1,1,0.125,0.75,1,2,1,2,1,1,2,1,2,2,0,0
0,54,5,0,4,0,1,1,1,0.5,0.5,2,2,1,1,1,1,2,2,1,2,1,0
0,79,5,0,7,NA,NA,1,1,0.875,0.25,2,1,2,1,1,1,1,2,1,1,NA,NA
1,38,6,0,1,1,1,1,1,0.125,1,1,1,1,2,1,2,2,2,2,2,0,0
