male,age,education,unemployed,ideology,left01,left02,right01,right02,eco_issue,imm_issue,iv_immigration,iv_economy
1,41,6,0,8,0,0,1,1,0,0,1,0.5
0,41,4,0,6,1,1,0,0,0,0,0.5,0.3333333333333333
1,55,3,0,6,0,0,1,1,0,0,0.5,0.5
0,50,6,0,5,1,1,0,0,0,0,0.5,0.6666666666666666
1,38,5,0,11,0,0,1,1,0,0,1,0.3333333333333333
0,54,6,0,6,1,1,0,0,0,0,0.25,0
0,49,6,0,11,0,0,1,1,0,0,0,0.8333333333333334
0,29,6,0,8,0,0,1,1,0,0,1,0.6666666666666666
1,59,4,1,4,1,1,0,0,0,0,0.5,0.8333333333333334
1,52,3,0,6,1,1,0,0,0,1,0.75,0.5
1,46,3,0,7,0,0,1,1,0,0,1,0.5
0,28,4,0,6,1,1,0,0,0,0,0.5,0.3333333333333333
1,72,4,0,11,0,0,1,1,0,0,0.75,0.5
0,69,6,0,3,1,0,0,1,0,0,1,0.8333333333333334
0,43,6,0,9,0,0,1,1,0,0,0.75,0.6666666666666666
0,48,5,0,3,1,1,0,0,0,0,0.75,0.3333333333333333
0,49,6,0,9,0,0,1,1,0,0,1,0.5
0,37,6,0,11,0,0,1,1,0,1,1,0
1,41,4,0,6,1,0,0,1,0,0,1,0.5
0,43,3,0,3,0,0,1,1,0,0,1,0.5
1,46,5,0,4,1,1,0,0,0,0,0.5,0.8333333333333334
1,65,4,0,3,1,1,0,0,0,0,0.5,0.6666666666666666
1,71,6,0,2,1,1,0,0,0,0,0,1
0,42,5,0,3,1,1,0,0,0,0,1,0.3333333333333333
1,64,3,0,6,0,0,1,1,0,0,1,0.5
1,49,4,0,5,1,1,0,0,0,0,1,0.3333333333333333
0,65,3,0,6,1,1,0,0,0,0,0.5,0.5
1,54,4,0,9,0,0,1,1,0,0,1,0.5
1,61,6,0,7,0,0,1,1,0,0,1,0.5
0,64,6,0,1,1,1,0,0,0,0,0.75,0.5
0,19,6,0,6,1,1,0,0,0,0,0.25,0.5
0,65,3,0,6,0,1,1,0,0,0,0.25,0.5
0,48,4,0,6,0,0,1,1,1,1,1,0.16666666666666666
1,44,4,0,8,0,0,1,1,0,1,1,0.16666666666666666
1,49,6,0,7,0,0,1,1,0,1,0.5,0.16666666666666666
1,38,6,0,7,0,0,1,1,0,0,1,0.5
0,33,4,0,10,0,0,1,1,0,0,0.5,0.6666666666666666
0,56,4,0,5,0,0,1,1,0,0,1,0.3333333333333333
0,64,6,0,5,1,1,0,0,0,0,0.25,0.8333333333333334
0,65,4,0,5,1,1,0,0,0,0,0.5,0.6666666666666666
0,18,4,0,1,1,1,0,0,1,0,0,1
0,60,3,0,NA,0,0,1,1,0,0,1,0.5
1,45,3,0,6,0,0,1,1,0,0,1,0.6666666666666666
0,66,6,0,6,0,0,1,1,0,0,1,0.8333333333333334
1,59,4,0,5,1,0,0,1,0,0,0.75,0.6666666666666666
1,44,6,0,6,0,0,1,1,0,0,0.75,0.6666666666666666
1,49,6,0,4,1,1,0,0,0,0,1,0.8333333333333334
0,41,3,0,NA,0,0,1,1,0,0,0.25,0.5
1,57,4,0,6,0,0,1,1,1,0,1,0.5
1,45,4,0,4,1,1,0,0,0,1,0.75,0.6666666666666666
0,56,6,0,3,0,0,1,1,0,1,1,0
1,62,5,0,7,0,0,1,1,0,0,0.5,0.3333333333333333
1,57,6,0,7,0,0,1,1,0,0,1,0.6666666666666666
0,58,4,0,3,1,0,0,1,0,0,0.5,0.5
0,65,4,0,4,1,1,0,0,0,0,0.5,0.8333333333333334
0,50,3,0,6,0,0,1,1,0,0,0,0.8333333333333334
0,51,6,0,3,1,1,0,0,0,0,0.5,0.8333333333333334
1,44,5,0,4,1,1,0,0,0,0,1,0.16666666666666666
0,45,5,0,7,0,0,1,1,0,0,1,0.6666666666666666
1,68,6,0,5,1,1,0,0,0,0,1,0.8333333333333334
0,52,4,0,9,0,0,1,1,0,0,0.75,0.16666666666666666
1,38,4,0,6,0,0,1,1,0,0,0.25,0.5
1,43,6,0,8,0,0,1,1,0,0,1,0.16666666666666666
0,77,4,0,3,1,0,0,1,0,0,0.5,0.8333333333333334
1,49,4,0,6,1,1,0,0,0,0,0.5,0.5
1,49,6,0,5,0,0,1,1,0,0,1,0.5
1,55,3,0,8,0,0,1,1,0,0,1,0.5
1,43,6,0,4,1,1,0,0,0,0,0.5,0.5
